Réf. Part.;Type partenaire;Code EPJ;RS EPJ;Adresse EPJ;Forçage;Motif forçage;Date forçage;Client;Statut;Taux;Code département;Denom part.;Adresse part.;CP part.;Ville part.;Blacklistage;Motif blacklistage;Date blacklistage
EG0425257;;54464878;"Optical Center DREUX";"  r Bas Buissons 28100 Dreux";;;;09324735;Annonceur Module;Taux 2;028;"Optical Center - DREUX";"Rue des Bas Buissons";28100;"DREUX";;;
EG0425258;;54315906;"OPTICAL CENTER";"9 r St Louis 68330 Huningue";;;;09324735;Annonceur Module;Taux 2;068;"Optical Center - HUNINGUE";"9 Rue de Saint Louis";68330;"HUNINGUE";;;
EG0425259;;54817933;"Optical Center";"Zone Alienor d'Aquitaine 33300 BORDEAUX";;;;09324735;Annonceur Module;Taux 2;033;"Optical Center - BORDEAUX - LAC";"Impasse du Docteur Jean Vincent";33300;"BORDEAUX";;;
EG0425260;;54332011;"Optical Center";"30 bd Europe 79300 BRESSUIRE";;;;09324735;Annonceur Module;Taux 2;079;"Optical Center - BRESSUIRE";"30 Boulevard de l'Europe";79300;"BRESSUIRE";;;
EG0425261;;54519013;"Optical Center ISSOIRE";"4 zac Listes 63500 Issoire";;;;09324735;Annonceur Module;Taux 2;063;"Optical Center - ISSOIRE";"4  rue Nelson Mandela  ZAC des Listes";63500;"ISSOIRE";;;
EG0425262;;54199439;"Optical Center";"28   r Mercure 91230 Montgeron";;;;09324735;Annonceur Module;Taux 2;091;"Optical Center - MONTGERON";"28 Rue Mercure";91230;"MONTGERON";;;
EG0425263;;50300332;"Optical Center";"200 r Butte aux Lièvres 77100 Mareuil lès Meaux";;;;09324735;Annonceur Module;Taux 2;077;"Optical Center - MAREUIL-LÈS-MEAUX";"200 Rue de la Butte aux Lièvres";77100;"MAREUIL-LÈS-MEAUX";;;
EG0425264;;52576908;"Optical Center";"11 r Erstein 67300 Schiltigheim";;;;09324735;Annonceur Module;Taux 2;067;"Optical Center - SCHILTIGHEIM";"11 Rue d'Erstein";67300;"SCHILTIGHEIM";;;
EG0425265;;54146582;"Optical Center";"r Alfred de Musset 42300 MABLY";;;;09324735;Annonceur Module;Taux 2;042;"Optical Center - MABLY";"46 Rue Alfred de Musset";42300;"MABLY";;;
EG0425266;;54855535;"Optical Center";"4 av Poigny 77160 Provins";;;;54855535;Annonceur;Taux 3;077;"Optical Center - PROVINS";"4 Avenue de Poigny";77160;"PROVINS";;;
EG0425267;;54247724;"Optical Center";"6 r Bourdigues 13200 ARLES";;;;09324735;Annonceur Module;Taux 2;013;"Optical Center - ARLES";"6 Rue des Bourdigues";13200;"ARLES";;;
