Part;Type partenaire;Denom part.;Adresse part.;CP part;Ville part.;Tél;SIRET;Réf. Part.;Date appel WS MPG;Code EPJ;RS EPJ;Adresse EPJ;Forçage;Motif forçage;Date forçage;Client;Statut;Sup;Statut parution;Raison technique;Blacklistage;Motif blacklistage;Date blacklistage
EG04;;Arthur Bonnet Laon;22 rue Paul Vivien;02000;Laon;0323293371;81867166100010;EG0425567;26/05/2019 09:38:45;;;;;;;;;;Non rapproché;;;;
EG04;;Arthur Bonnet Ajaccio;RN 194   ZI de Baléone (à côté du Chateau d'Ax);20167;Afa / ajaccio;0495220619;42175396300048;EG0425580;;;;;;;;;;;Erreur RGU;Retour RGU : RE-C02;;;
EG04;;Arthur Bonnet Saint Barthelemy;SaintJean de Carénage Quartier de l'Etoile;97133;Saint barthelemy;+590690062;43967001900025;EG0425609;08/03/2019 00:00:00;58148250;"Bonnet";"res Etoile 97133 SAINT BARTHELEMY";;;;;Non Annonceur;;Rapprochement douteux;Pas de bloc de parution associé à l'EPJ;;;
EG04;;Tryba La Trinité;82 boulevard du Général de Gaulle;06340;La trinité;0493015825;41273187900042;EG0425618;12/11/2018 00:00:00;08017087;"Fenêtres Portes du Sud";"82 bd Gén de Gaulle 06340 LA TRINITE";;;;;Non Annonceur;;Rapprochement douteux;Pas de bloc de parution associé à l'EPJ;;;
EG04;;Tryba Moirans;Rue Aristide Berges;38500;Moirans;0476058714;49438871300013;EG0425637;12/11/2018 00:00:00;58997904;"Tryba";"1434 r Aristide Bergès 38430 Moirans";;;;50178096;Annonceur Module;;Rapprochement douteux;Rapprochement vers un EPJ inactif avec élément EP;;;
EG04;;Tryba Saint-berthevin;5 rue des Chênes;53940;Saint-berthevin;0243025858;80779038100014;EG0425654;26/05/2019 09:38:45;;;;;;;;;;Non rapproché;;;;
EG04;;Tryba La Garde;120 route nationale 97;83130;La garde;0494685780;50182599600033;EG0425677;26/05/2019 09:38:45;;;;;;;;;;Non rapproché;;;;
EG04;;Tryba Villechétif;Rue des Vignes;10410;Villechétif;0325824946;43509176400033;EG0425744;12/11/2018 00:00:00;56967661;"CHAMPAGNE ISOLATION";"R Vignes 10410 VILLECHETIF";;;;;Non Annonceur;;Rapprochement douteux;Pas de bloc de parution associé à l'EPJ;;;
EG04;;Tryba Nantes;15 bis allée du Commandant Charcot;44000;Nantes;0249622323;81955504600013;EG0425802;26/05/2019 09:38:45;;;;;;;;;;Non rapproché;;;;
EG04;;Tryba Mauguio;121 rue Roland Garros;34130;Mauguio;0499642541;81138225800028;EG0425833;26/05/2019 09:38:45;;;;;;;;;;Non rapproché;;;;
EG04;;Tryba Estillac;59 route d'Agen;47310;Estillac;0533091431;81402842900011;EG0425838;26/05/2019 09:38:45;;;;;;;;;;Non rapproché;;;;
EG04;;Tryba Melesse;37 rue du Val;35520;Melesse;0223408948;81368568200011;EG0425861;26/05/2019 09:38:45;;;;;;;;;;Non rapproché;;;;
EG04;;Optical Center SAINT-JEAN-D'ILLAC;55  Allée Jean Jacques Rousseau;33127;Saint-Jean-d'Illac;;840 633 242 00010;EG0426223;;58678117;"Optical Center SAINT-JEAN-D'ILLAC";"55 all Jean Jacques Rousseau 33127 Saint Jean d'Illac";;;;09324735;Annonceur Module;;Rapprochement douteux;Rapprochement vers un EPJ inactif avec élément EP;;;
